gender,SSC Score,HSC Score,CGPA,Stream,Aptitude,No of internships,working experience,No of backlogs,Coding Skills,status
M,67,91,58,Sci&Tech,56,2,No,0,55,Placed
M,79.33,78.33,77.48,Sci&Tech,87,3,Yes,0,86.5,Placed
M,65,68,64,Comm&Mgmt,74,3,No,0,75,Placed
M,56,52,52,Sci&Tech,68,0,No,1,66,Not Placed
M,85.8,73.6,73.3,Comm&Mgmt,97,4,No,0,96.8,Placed
M,55,49.8,67.25,Sci&Tech,53,1,Yes,2,55,Not Placed
F,46,49.2,79,Comm&Mgmt,76,1,No,2,74.28,Not Placed
M,82,64,66,Sci&Tech,69,3,Yes,0,67,Placed
M,73,79,72,Comm&Mgmt,93,2,No,0,91.34,Placed
M,58,70,61,Comm&Mgmt,52,1,No,1,54,Not Placed
M,58,61,60,Comm&Mgmt,60,3,Yes,0,62,Placed
M,69.6,68.4,78.3,Comm&Mgmt,58,4,Yes,0,60,Placed
F,47,55,65,Comm&Mgmt,56,0,No,2,62,Not Placed
F,77,87,59,Comm&Mgmt,70,2,No,0,68,Placed
M,62,47,50,Comm&Mgmt,60,1,No,2,76,Not Placed
F,65,75,69,Comm&Mgmt,75,3,Yes,0,72,Placed
M,63,66.2,65.6,Comm&Mgmt,65,3,Yes,0,60,Placed
F,55,67,64,Comm&Mgmt,50,1,No,1,60,Not Placed
F,63,66,64,Comm&Mgmt,52,1,No,1,68,Not Placed
M,60,67,70,Comm&Mgmt,60,3,Yes,0,50.48,Placed
M,62,65,66,Comm&Mgmt,65,3,No,0,50,Placed
F,79,76,85,Comm&Mgmt,68,3,No,0,95,Placed
F,69.8,60.8,72.23,Sci&Tech,63,4,No,0,55.53,Placed
F,77.4,60,64.74,Sci&Tech,98,4,Yes,0,92,Placed
M,76.5,97.7,78.86,Sci&Tech,95,3,No,0,97.4,Placed
F,52.58,54.6,50.2,Comm&Mgmt,65,1,Yes,3,76,Not Placed
M,71,79,66,Comm&Mgmt,89,2,Yes,0,94,Placed
M,63,67,66,Comm&Mgmt,65,3,No,0,68,Placed
M,76.76,76.5,67.5,Comm&Mgmt,75,2,Yes,0,73.35,Placed
M,62,67,58,Comm&Mgmt,40,1,No,1,77,Not Placed
